"","YEAR","MONTH","CARRIER","EMPTOTAL","X","yearmonth","yearmonthday"
"51",2007,"01",NA,717,NA,"200701",2007-01-01
"52",2007,"01","NC",250,NA,"200701",2007-01-01
"53",2007,"01","NK",2195,NA,"200701",2007-01-01
"54",2007,"01","NW",30288,NA,"200701",2007-01-01
"55",2007,"01","OH",6513,NA,"200701",2007-01-01
"56",2007,"01","OO",9858,NA,"200701",2007-01-01
"57",2007,"01","OW",1909,NA,"200701",2007-01-01
"58",2007,"01","PCQ",413,NA,"200701",2007-01-01
"59",2007,"01","PFQ",42,NA,"200701",2007-01-01
"60",2007,"01","PO",615,NA,"200701",2007-01-01
"61",2007,"01","PRQ",75,NA,"200701",2007-01-01
"62",2007,"01","PT",193,NA,"200701",2007-01-01
"63",2007,"01","QX",3976,NA,"200701",2007-01-01
"64",2007,"01","RD",628,NA,"200701",2007-01-01
"65",2007,"01","RW",687,NA,"200701",2007-01-01
"66",2007,"01","S5",1074,NA,"200701",2007-01-01
"67",2007,"01","SI",25,NA,"200701",2007-01-01
"68",2007,"01","SLQ",98,NA,"200701",2007-01-01
"69",2007,"01","SY",1030,NA,"200701",2007-01-01
"70",2007,"01","TZ",2488,NA,"200701",2007-01-01
"71",2007,"01","U5",655,NA,"200701",2007-01-01
"72",2007,"01","U7",335,NA,"200701",2007-01-01
"73",2007,"01","UA",54873,NA,"200701",2007-01-01
"74",2007,"01","US",21122,NA,"200701",2007-01-01
"75",2007,"01","VCQ",0,NA,"200701",2007-01-01
"76",2007,"01","WE",185,NA,"200701",2007-01-01
"77",2007,"01","WI",203,NA,"200701",2007-01-01
"78",2007,"01","WN",32725,NA,"200701",2007-01-01
"79",2007,"01","WO",1337,NA,"200701",2007-01-01
"80",2007,"01","X9",959,NA,"200701",2007-01-01
"81",2007,"01","XE",7313,NA,"200701",2007-01-01
"82",2007,"01","XJ",3102,NA,"200701",2007-01-01
"83",2007,"01","XP",205,NA,"200701",2007-01-01
"84",2007,"01","YV",3261,NA,"200701",2007-01-01
"85",2007,"01","YX",2347,NA,"200701",2007-01-01
"86",2007,"01","ZQ",210,NA,"200701",2007-01-01
"87",2007,"01","ZW",2493,NA,"200701",2007-01-01
"88",2007,"02","09Q",129,NA,"200702",2007-02-01
"89",2007,"02","16",1527,NA,"200702",2007-02-01
"90",2007,"02","3Z",282,NA,"200702",2007-02-01
"91",2007,"02","5X",6196,NA,"200702",2007-02-01
"92",2007,"02","5Y",1150,NA,"200702",2007-02-01
"93",2007,"02","8C",444,NA,"200702",2007-02-01
"94",2007,"02","9E",3923,NA,"200702",2007-02-01
"95",2007,"02","9S",303,NA,"200702",2007-02-01
"96",2007,"02","AA",77648,NA,"200702",2007-02-01
"97",2007,"02","ABX",11154,NA,"200702",2007-02-01
"98",2007,"02","AJQ",269,NA,"200702",2007-02-01
"99",2007,"02","AMQ",43,NA,"200702",2007-02-01
"100",2007,"02","AQ",3407,NA,"200702",2007-02-01
"101",2007,"02","AS",9872,NA,"200702",2007-02-01
"102",2007,"02","AX",1305,NA,"200702",2007-02-01
"103",2007,"02","B6",10605,NA,"200702",2007-02-01
"104",2007,"02","BNQ",4,NA,"200702",2007-02-01
"105",2007,"02","CO",38490,NA,"200702",2007-02-01
"106",2007,"02","CS",1336,NA,"200702",2007-02-01
"107",2007,"02","CTQ",12,NA,"200702",2007-02-01
"108",2007,"02","CZQ",15,NA,"200702",2007-02-01
"109",2007,"02","DL",47204,NA,"200702",2007-02-01
"110",2007,"02","E0",248,NA,"200702",2007-02-01
"111",2007,"02","E9",148,NA,"200702",2007-02-01
"112",2007,"02","ER",989,NA,"200702",2007-02-01
"113",2007,"02","EV",6185,NA,"200702",2007-02-01
"114",2007,"02","EZ",513,NA,"200702",2007-02-01
"115",2007,"02","F2",183,NA,"200702",2007-02-01
"116",2007,"02","F9",5078,NA,"200702",2007-02-01
"117",2007,"02","FE",90,NA,"200702",2007-02-01
"118",2007,"02","FL",8598,NA,"200702",2007-02-01
"119",2007,"02","FX",136345,NA,"200702",2007-02-01
"120",2007,"02","G4",1039,NA,"200702",2007-02-01
"121",2007,"02","G7",337,NA,"200702",2007-02-01
"122",2007,"02","GFQ",62,NA,"200702",2007-02-01
"123",2007,"02","GG",110,NA,"200702",2007-02-01
"124",2007,"02","GL",403,NA,"200702",2007-02-01
"125",2007,"02","GR",398,NA,"200702",2007-02-01
"126",2007,"02","HA",3593,NA,"200702",2007-02-01
"127",2007,"02","HP",13945,NA,"200702",2007-02-01
"128",2007,"02","JW",515,NA,"200702",2007-02-01
"129",2007,"02","KAQ",828,NA,"200702",2007-02-01
"130",2007,"02","KLQ",41,NA,"200702",2007-02-01
"131",2007,"02","L2",157,NA,"200702",2007-02-01
"132",2007,"02","M6",537,NA,"200702",2007-02-01
"133",2007,"02","MG",705,NA,"200702",2007-02-01
"134",2007,"02","MQ",10027,NA,"200702",2007-02-01
"135",2007,"02","MRQ",95,NA,"200702",2007-02-01
"136",2007,"02","MY",342,NA,"200702",2007-02-01
"137",2007,"02",NA,738,NA,"200702",2007-02-01
"138",2007,"02","NC",242,NA,"200702",2007-02-01
"139",2007,"02","NK",2280,NA,"200702",2007-02-01
"140",2007,"02","NW",30306,NA,"200702",2007-02-01
"141",2007,"02","OH",6502,NA,"200702",2007-02-01
"142",2007,"02","OO",9974,NA,"200702",2007-02-01
"143",2007,"02","OW",1884,NA,"200702",2007-02-01
"144",2007,"02","PCQ",406,NA,"200702",2007-02-01
"145",2007,"02","PO",569,NA,"200702",2007-02-01
"146",2007,"02","PRQ",75,NA,"200702",2007-02-01
"147",2007,"02","PT",192,NA,"200702",2007-02-01
"148",2007,"02","QX",3967,NA,"200702",2007-02-01
"149",2007,"02","RD",602,NA,"200702",2007-02-01
"150",2007,"02","RW",795,NA,"200702",2007-02-01
"151",2007,"02","S5",1020,NA,"200702",2007-02-01
"152",2007,"02","SI",25,NA,"200702",2007-02-01
"153",2007,"02","SLQ",100,NA,"200702",2007-02-01
"154",2007,"02","SY",1039,NA,"200702",2007-02-01
"155",2007,"02","TZ",2481,NA,"200702",2007-02-01
"156",2007,"02","U5",632,NA,"200702",2007-02-01
"157",2007,"02","U7",346,NA,"200702",2007-02-01
"158",2007,"02","UA",54754,NA,"200702",2007-02-01
"159",2007,"02","US",21131,NA,"200702",2007-02-01
"160",2007,"02","VCQ",0,NA,"200702",2007-02-01
"161",2007,"02","WE",185,NA,"200702",2007-02-01
"162",2007,"02","WI",204,NA,"200702",2007-02-01
"163",2007,"02","WN",33064,NA,"200702",2007-02-01
"164",2007,"02","WO",1329,NA,"200702",2007-02-01
"165",2007,"02","X9",975,NA,"200702",2007-02-01
"166",2007,"02","XE",7634,NA,"200702",2007-02-01
"167",2007,"02","XJ",3196,NA,"200702",2007-02-01
"168",2007,"02","XP",205,NA,"200702",2007-02-01
"169",2007,"02","YV",3275,NA,"200702",2007-02-01
"170",2007,"02","YX",2349,NA,"200702",2007-02-01
"171",2007,"02","ZW",2449,NA,"200702",2007-02-01
"172",2007,"03","09Q",128,NA,"200703",2007-03-01
"173",2007,"03","16",1514,NA,"200703",2007-03-01
"174",2007,"03","3Z",282,NA,"200703",2007-03-01
"175",2007,"03","5X",6505,NA,"200703",2007-03-01
"176",2007,"03","5Y",1129,NA,"200703",2007-03-01
"177",2007,"03","8C",426,NA,"200703",2007-03-01
"178",2007,"03","9E",3940,NA,"200703",2007-03-01
"179",2007,"03","9S",298,NA,"200703",2007-03-01
"180",2007,"03","AA",78548,NA,"200703",2007-03-01
"181",2007,"03","ABX",11309,NA,"200703",2007-03-01
"182",2007,"03","AJQ",261,NA,"200703",2007-03-01
"183",2007,"03","AMQ",42,NA,"200703",2007-03-01
"184",2007,"03","AQ",3404,NA,"200703",2007-03-01
"185",2007,"03","AS",10001,NA,"200703",2007-03-01
"186",2007,"03","AX",1314,NA,"200703",2007-03-01
"187",2007,"03","B6",10686,NA,"200703",2007-03-01
"188",2007,"03","BNQ",4,NA,"200703",2007-03-01
"189",2007,"03","CO",38702,NA,"200703",2007-03-01
"190",2007,"03","CS",1334,NA,"200703",2007-03-01
"191",2007,"03","CTQ",12,NA,"200703",2007-03-01
"192",2007,"03","CZQ",18,NA,"200703",2007-03-01
"193",2007,"03","DL",47859,NA,"200703",2007-03-01
"194",2007,"03","E0",265,NA,"200703",2007-03-01
"195",2007,"03","E9",147,NA,"200703",2007-03-01
"196",2007,"03","ER",993,NA,"200703",2007-03-01
"197",2007,"03","EV",5832,NA,"200703",2007-03-01
"198",2007,"03","EZ",513,NA,"200703",2007-03-01
"199",2007,"03","F2",177,NA,"200703",2007-03-01
"200",2007,"03","F9",5156,NA,"200703",2007-03-01
"201",2007,"03","FE",105,NA,"200703",2007-03-01
"202",2007,"03","FL",7939,NA,"200703",2007-03-01
"203",2007,"03","FX",141582,NA,"200703",2007-03-01
"204",2007,"03","G4",1063,NA,"200703",2007-03-01
"205",2007,"03","G7",328,NA,"200703",2007-03-01
"206",2007,"03","GFQ",80,NA,"200703",2007-03-01
"207",2007,"03","GG",110,NA,"200703",2007-03-01
"208",2007,"03","GL",415,NA,"200703",2007-03-01
"209",2007,"03","GR",397,NA,"200703",2007-03-01
"210",2007,"03","HA",3610,NA,"200703",2007-03-01
"211",2007,"03","HP",13879,NA,"200703",2007-03-01
"212",2007,"03","JW",498,NA,"200703",2007-03-01
"213",2007,"03","KAQ",841,NA,"200703",2007-03-01
"214",2007,"03","KLQ",40,NA,"200703",2007-03-01
"215",2007,"03","KR",237,NA,"200703",2007-03-01
"216",2007,"03","L2",156,NA,"200703",2007-03-01
"217",2007,"03","M6",520,NA,"200703",2007-03-01
"218",2007,"03","MG",710,NA,"200703",2007-03-01
"219",2007,"03","MQ",10165,NA,"200703",2007-03-01
"220",2007,"03","MRQ",95,NA,"200703",2007-03-01
"221",2007,"03","MY",343,NA,"200703",2007-03-01
"222",2007,"03",NA,739,NA,"200703",2007-03-01
"223",2007,"03","NC",237,NA,"200703",2007-03-01
"224",2007,"03","NK",2241,NA,"200703",2007-03-01
"225",2007,"03","NW",30302,NA,"200703",2007-03-01
"226",2007,"03","OH",6494,NA,"200703",2007-03-01
"227",2007,"03","OO",10126,NA,"200703",2007-03-01
"228",2007,"03","OW",1843,NA,"200703",2007-03-01
"229",2007,"03","PCQ",411,NA,"200703",2007-03-01
"230",2007,"03","PFQ",44,NA,"200703",2007-03-01
"231",2007,"03","PO",562,NA,"200703",2007-03-01
"232",2007,"03","PRQ",74,NA,"200703",2007-03-01
"233",2007,"03","PT",185,NA,"200703",2007-03-01
"234",2007,"03","QX",3990,NA,"200703",2007-03-01
"235",2007,"03","RD",573,NA,"200703",2007-03-01
"236",2007,"03","RW",856,NA,"200703",2007-03-01
"237",2007,"03","S5",1009,NA,"200703",2007-03-01
"238",2007,"03","SI",22,NA,"200703",2007-03-01
"239",2007,"03","SLQ",115,NA,"200703",2007-03-01
"240",2007,"03","SY",1034,NA,"200703",2007-03-01
"241",2007,"03","TZ",2485,NA,"200703",2007-03-01
"242",2007,"03","U5",642,NA,"200703",2007-03-01
"243",2007,"03","U7",345,NA,"200703",2007-03-01
"244",2007,"03","UA",54712,NA,"200703",2007-03-01
"245",2007,"03","US",21288,NA,"200703",2007-03-01
"246",2007,"03","VCQ",0,NA,"200703",2007-03-01
"247",2007,"03","WE",182,NA,"200703",2007-03-01
"248",2007,"03","WI",207,NA,"200703",2007-03-01
"249",2007,"03","WN",33195,NA,"200703",2007-03-01
"250",2007,"03","WO",1330,NA,"200703",2007-03-01
"251",2007,"03","X9",1001,NA,"200703",2007-03-01
"252",2007,"03","XE",7673,NA,"200703",2007-03-01
"253",2007,"03","XJ",3220,NA,"200703",2007-03-01
"254",2007,"03","XP",182,NA,"200703",2007-03-01
"255",2007,"03","YV",3295,NA,"200703",2007-03-01
"256",2007,"03","YX",2368,NA,"200703",2007-03-01
"257",2007,"03","ZW",2437,NA,"200703",2007-03-01
"258",2007,"04","09Q",123,NA,"200704",2007-04-01
"259",2007,"04","16",1509,NA,"200704",2007-04-01
"260",2007,"04","3Z",278,NA,"200704",2007-04-01
"261",2007,"04","5X",6240,NA,"200704",2007-04-01
"262",2007,"04","5Y",1129,NA,"200704",2007-04-01
"263",2007,"04","8C",414,NA,"200704",2007-04-01
"264",2007,"04","9E",3963,NA,"200704",2007-04-01
"265",2007,"04","9S",304,NA,"200704",2007-04-01
"266",2007,"04","AA",78534,NA,"200704",2007-04-01
"267",2007,"04","ABX",11342,NA,"200704",2007-04-01
"268",2007,"04","AJQ",258,NA,"200704",2007-04-01
"269",2007,"04","AMQ",41,NA,"200704",2007-04-01
"270",2007,"04","AQ",3478,NA,"200704",2007-04-01
"271",2007,"04","AS",9991,NA,"200704",2007-04-01
"272",2007,"04","AX",1291,NA,"200704",2007-04-01
"273",2007,"04","B6",10766,NA,"200704",2007-04-01
"274",2007,"04","BNQ",4,NA,"200704",2007-04-01
"275",2007,"04","CO",39192,NA,"200704",2007-04-01
"276",2007,"04","CS",1340,NA,"200704",2007-04-01
"277",2007,"04","CTQ",12,NA,"200704",2007-04-01
"278",2007,"04","CZQ",18,NA,"200704",2007-04-01
"279",2007,"04","DL",48420,NA,"200704",2007-04-01
"280",2007,"04","E0",269,NA,"200704",2007-04-01
"281",2007,"04","E9",141,NA,"200704",2007-04-01
"282",2007,"04","ER",988,NA,"200704",2007-04-01
"283",2007,"04","EV",5735,NA,"200704",2007-04-01
"284",2007,"04","EZ",519,NA,"200704",2007-04-01
"285",2007,"04","F2",169,NA,"200704",2007-04-01
"286",2007,"04","F9",5265,NA,"200704",2007-04-01
"287",2007,"04","FE",102,NA,"200704",2007-04-01
"288",2007,"04","FL",8064,NA,"200704",2007-04-01
"289",2007,"04","FX",140913,NA,"200704",2007-04-01
"290",2007,"04","G4",1082,NA,"200704",2007-04-01
"291",2007,"04","G7",326,NA,"200704",2007-04-01
"292",2007,"04","GFQ",87,NA,"200704",2007-04-01
"293",2007,"04","GG",111,NA,"200704",2007-04-01
"294",2007,"04","GL",398,NA,"200704",2007-04-01
"295",2007,"04","GR",389,NA,"200704",2007-04-01
"296",2007,"04","HA",3598,NA,"200704",2007-04-01
"297",2007,"04","HP",14693,NA,"200704",2007-04-01
"298",2007,"04","JW",436,NA,"200704",2007-04-01
"299",2007,"04","KAQ",850,NA,"200704",2007-04-01
"300",2007,"04","KLQ",42,NA,"200704",2007-04-01
"301",2007,"04","KR",201,NA,"200704",2007-04-01
"302",2007,"04","L2",158,NA,"200704",2007-04-01
"303",2007,"04","M6",536,NA,"200704",2007-04-01
"304",2007,"04","MG",705,NA,"200704",2007-04-01
"305",2007,"04","MQ",10161,NA,"200704",2007-04-01
"306",2007,"04","MRQ",91,NA,"200704",2007-04-01
"307",2007,"04","MY",343,NA,"200704",2007-04-01
"308",2007,"04",NA,741,NA,"200704",2007-04-01
"309",2007,"04","NC",237,NA,"200704",2007-04-01
"310",2007,"04","NK",2260,NA,"200704",2007-04-01
"311",2007,"04","NW",30206,NA,"200704",2007-04-01
"312",2007,"04","OH",6560,NA,"200704",2007-04-01
"313",2007,"04","OO",10209,NA,"200704",2007-04-01
"314",2007,"04","OW",1809,NA,"200704",2007-04-01
"315",2007,"04","PCQ",416,NA,"200704",2007-04-01
"316",2007,"04","PFQ",44,NA,"200704",2007-04-01
"317",2007,"04","PO",562,NA,"200704",2007-04-01
"318",2007,"04","PT",195,NA,"200704",2007-04-01
"319",2007,"04","QX",4020,NA,"200704",2007-04-01
"320",2007,"04","RD",578,NA,"200704",2007-04-01
"321",2007,"04","RW",932,NA,"200704",2007-04-01
"322",2007,"04","S5",1068,NA,"200704",2007-04-01
"323",2007,"04","SI",27,NA,"200704",2007-04-01
"324",2007,"04","SLQ",120,NA,"200704",2007-04-01
"325",2007,"04","SY",1012,NA,"200704",2007-04-01
"326",2007,"04","TZ",2481,NA,"200704",2007-04-01
"327",2007,"04","U5",641,NA,"200704",2007-04-01
"328",2007,"04","U7",344,NA,"200704",2007-04-01
"329",2007,"04","UA",54631,NA,"200704",2007-04-01
"330",2007,"04","US",21302,NA,"200704",2007-04-01
"331",2007,"04","VCQ",0,NA,"200704",2007-04-01
"332",2007,"04","WE",182,NA,"200704",2007-04-01
"333",2007,"04","WI",216,NA,"200704",2007-04-01
"334",2007,"04","WN",33370,NA,"200704",2007-04-01
"335",2007,"04","WO",1324,NA,"200704",2007-04-01
"336",2007,"04","X9",993,NA,"200704",2007-04-01
"337",2007,"04","XE",7803,NA,"200704",2007-04-01
"338",2007,"04","XJ",3226,NA,"200704",2007-04-01
"339",2007,"04","XP",183,NA,"200704",2007-04-01
"340",2007,"04","YV",3286,NA,"200704",2007-04-01
"341",2007,"04","YX",2374,NA,"200704",2007-04-01
"342",2007,"04","ZW",2446,NA,"200704",2007-04-01
"343",2007,"05","09Q",117,NA,"200705",2007-05-01
"344",2007,"05","16",1511,NA,"200705",2007-05-01
"345",2007,"05","3Z",290,NA,"200705",2007-05-01
"346",2007,"05","5X",6252,NA,"200705",2007-05-01
"347",2007,"05","5Y",1137,NA,"200705",2007-05-01
"348",2007,"05","8C",412,NA,"200705",2007-05-01
"349",2007,"05","9E",3994,NA,"200705",2007-05-01
"350",2007,"05","9S",303,NA,"200705",2007-05-01
"351",2007,"05","AA",78580,NA,"200705",2007-05-01
"352",2007,"05","ABX",11232,NA,"200705",2007-05-01
"353",2007,"05","AJQ",253,NA,"200705",2007-05-01
"354",2007,"05","AMQ",42,NA,"200705",2007-05-01
"355",2007,"05","AQ",3616,NA,"200705",2007-05-01
"356",2007,"05","AS",10062,NA,"200705",2007-05-01
"357",2007,"05","AX",1298,NA,"200705",2007-05-01
"358",2007,"05","B6",10839,NA,"200705",2007-05-01
"359",2007,"05","BNQ",4,NA,"200705",2007-05-01
"360",2007,"05","CO",39603,NA,"200705",2007-05-01
"361",2007,"05","CS",1340,NA,"200705",2007-05-01
"362",2007,"05","CTQ",12,NA,"200705",2007-05-01
"363",2007,"05","CZQ",17,NA,"200705",2007-05-01
"364",2007,"05","DL",48984,NA,"200705",2007-05-01
"365",2007,"05","E0",281,NA,"200705",2007-05-01
"366",2007,"05","E9",115,NA,"200705",2007-05-01
"367",2007,"05","ER",983,NA,"200705",2007-05-01
"368",2007,"05","EV",5751,NA,"200705",2007-05-01
"369",2007,"05","EZ",518,NA,"200705",2007-05-01
"370",2007,"05","F2",134,NA,"200705",2007-05-01
"371",2007,"05","F9",5362,NA,"200705",2007-05-01
"372",2007,"05","FE",115,NA,"200705",2007-05-01
"373",2007,"05","FL",8324,NA,"200705",2007-05-01
"374",2007,"05","FX",140808,NA,"200705",2007-05-01
"375",2007,"05","G4",1117,NA,"200705",2007-05-01
"376",2007,"05","G7",313,NA,"200705",2007-05-01
"377",2007,"05","GFQ",84,NA,"200705",2007-05-01
"378",2007,"05","GG",112,NA,"200705",2007-05-01
"379",2007,"05","GL",393,NA,"200705",2007-05-01
"380",2007,"05","GR",392,NA,"200705",2007-05-01
"381",2007,"05","HA",3532,NA,"200705",2007-05-01
"382",2007,"05","HP",14050,NA,"200705",2007-05-01
"383",2007,"05","JW",439,NA,"200705",2007-05-01
"384",2007,"05","KAQ",858,NA,"200705",2007-05-01
"385",2007,"05","KLQ",38,NA,"200705",2007-05-01
"386",2007,"05","KR",235,NA,"200705",2007-05-01
"387",2007,"05","L2",154,NA,"200705",2007-05-01
"388",2007,"05","M6",538,NA,"200705",2007-05-01
"389",2007,"05","MG",702,NA,"200705",2007-05-01
"390",2007,"05","MQ",10142,NA,"200705",2007-05-01
"391",2007,"05","MRQ",94,NA,"200705",2007-05-01
"392",2007,"05","MY",343,NA,"200705",2007-05-01
"393",2007,"05",NA,759,NA,"200705",2007-05-01
"394",2007,"05","NC",246,NA,"200705",2007-05-01
"395",2007,"05","NK",2270,NA,"200705",2007-05-01
"396",2007,"05","NW",30392,NA,"200705",2007-05-01
"397",2007,"05","OH",6558,NA,"200705",2007-05-01
"398",2007,"05","OO",10503,NA,"200705",2007-05-01
"399",2007,"05","OW",1861,NA,"200705",2007-05-01
"400",2007,"05","PCQ",435,NA,"200705",2007-05-01
"401",2007,"05","PFQ",44,NA,"200705",2007-05-01
"402",2007,"05","PO",548,NA,"200705",2007-05-01
"403",2007,"05","PRQ",76,NA,"200705",2007-05-01
"404",2007,"05","PT",191,NA,"200705",2007-05-01
"405",2007,"05","QX",4072,NA,"200705",2007-05-01
"406",2007,"05","RD",457,NA,"200705",2007-05-01
"407",2007,"05","RW",935,NA,"200705",2007-05-01
"408",2007,"05","S5",1077,NA,"200705",2007-05-01
"409",2007,"05","SLQ",130,NA,"200705",2007-05-01
"410",2007,"05","SY",1000,NA,"200705",2007-05-01
"411",2007,"05","TZ",2485,NA,"200705",2007-05-01
"412",2007,"05","U5",636,NA,"200705",2007-05-01
"413",2007,"05","U7",356,NA,"200705",2007-05-01
"414",2007,"05","UA",54586,NA,"200705",2007-05-01
"415",2007,"05","US",22076,NA,"200705",2007-05-01
"416",2007,"05","VCQ",0,NA,"200705",2007-05-01
"417",2007,"05","WE",251,NA,"200705",2007-05-01
"418",2007,"05","WI",211,NA,"200705",2007-05-01
"419",2007,"05","WN",33467,NA,"200705",2007-05-01
"420",2007,"05","WO",1310,NA,"200705",2007-05-01
"421",2007,"05","X9",1007,NA,"200705",2007-05-01
"422",2007,"05","XE",8104,NA,"200705",2007-05-01
"423",2007,"05","XJ",3134,NA,"200705",2007-05-01
"424",2007,"05","XP",171,NA,"200705",2007-05-01
"425",2007,"05","YV",3236,NA,"200705",2007-05-01
"426",2007,"05","YX",2409,NA,"200705",2007-05-01
"427",2007,"05","ZW",2440,NA,"200705",2007-05-01
"428",2007,"06","09Q",117,NA,"200706",2007-06-01
"429",2007,"06","16",1526,NA,"200706",2007-06-01
"430",2007,"06","3Z",290,NA,"200706",2007-06-01
"431",2007,"06","5X",6267,NA,"200706",2007-06-01
"432",2007,"06","5Y",1200,NA,"200706",2007-06-01
"433",2007,"06","8C",411,NA,"200706",2007-06-01
"434",2007,"06","9E",4097,NA,"200706",2007-06-01
"435",2007,"06","9S",316,NA,"200706",2007-06-01
"436",2007,"06","AA",78278,NA,"200706",2007-06-01
"437",2007,"06","ABX",10963,NA,"200706",2007-06-01
"438",2007,"06","AJQ",251,NA,"200706",2007-06-01
"439",2007,"06","AMQ",42,NA,"200706",2007-06-01
"440",2007,"06","AQ",3551,NA,"200706",2007-06-01
"441",2007,"06","AS",10110,NA,"200706",2007-06-01
"442",2007,"06","AX",1310,NA,"200706",2007-06-01
"443",2007,"06","B6",10974,NA,"200706",2007-06-01
"444",2007,"06","BNQ",5,NA,"200706",2007-06-01
"445",2007,"06","CO",39577,NA,"200706",2007-06-01
"446",2007,"06","CS",1344,NA,"200706",2007-06-01
"447",2007,"06","CZQ",17,NA,"200706",2007-06-01
"448",2007,"06","DL",51217,NA,"200706",2007-06-01
"449",2007,"06","E0",296,NA,"200706",2007-06-01
"450",2007,"06","E9",114,NA,"200706",2007-06-01
"451",2007,"06","ER",975,NA,"200706",2007-06-01
"452",2007,"06","EV",4472,NA,"200706",2007-06-01
"453",2007,"06","EZ",533,NA,"200706",2007-06-01
"454",2007,"06","F2",128,NA,"200706",2007-06-01
"455",2007,"06","F9",5422,NA,"200706",2007-06-01
"456",2007,"06","FCQ",60,NA,"200706",2007-06-01
"457",2007,"06","FE",127,NA,"200706",2007-06-01
"458",2007,"06","FL",8507,NA,"200706",2007-06-01
"459",2007,"06","FX",140788,NA,"200706",2007-06-01
"460",2007,"06","G4",1111,NA,"200706",2007-06-01
"461",2007,"06","G7",324,NA,"200706",2007-06-01
"462",2007,"06","GFQ",88,NA,"200706",2007-06-01
"463",2007,"06","GG",110,NA,"200706",2007-06-01
"464",2007,"06","GL",404,NA,"200706",2007-06-01
"465",2007,"06","GR",380,NA,"200706",2007-06-01
"466",2007,"06","HA",3481,NA,"200706",2007-06-01
"467",2007,"06","HP",14047,NA,"200706",2007-06-01
"468",2007,"06","JW",419,NA,"200706",2007-06-01
"469",2007,"06","KAQ",877,NA,"200706",2007-06-01
"470",2007,"06","KLQ",44,NA,"200706",2007-06-01
"471",2007,"06","KR",235,NA,"200706",2007-06-01
"472",2007,"06","L2",155,NA,"200706",2007-06-01
"473",2007,"06","M6",564,NA,"200706",2007-06-01
"474",2007,"06","MG",699,NA,"200706",2007-06-01
"475",2007,"06","MQ",10179,NA,"200706",2007-06-01
"476",2007,"06","MRQ",98,NA,"200706",2007-06-01
"477",2007,"06","MY",343,NA,"200706",2007-06-01
"478",2007,"06",NA,776,NA,"200706",2007-06-01
"479",2007,"06","NC",241,NA,"200706",2007-06-01
"480",2007,"06","NK",2319,NA,"200706",2007-06-01
"481",2007,"06","NW",30567,NA,"200706",2007-06-01
